gwas	eqtl_db	eqtl_origin	loop_origin	hichip_map
T1D_34594039_GCST90018925	ImmuNexUT	Fr_I_nTreg	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Naive_CD4	CD4_T-cell_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	Mem_CD4	CD4_T-cell_naive	M
# data for CD8_T-cell_naive
T1D_25751624	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	CD8_T-cell_naive	M
T1D_25751624	Schmiedel_2018	CD8_T-cell_naive	CD8_T-cell_naive	Y
T1D_25751624	ImmuNexUT	Naive_CD8	CD8_T-cell_naive	Y
T1D_25751624	ImmuNexUT	Mem_CD8	CD8_T-cell_naive	M
T1D_25751624	ImmuNexUT	CM_CD8	CD8_T-cell_naive	M
T1D_25751624	ImmuNexUT	EM_CD8	CD8_T-cell_naive	M
T1D_25751624	ImmuNexUT	TEMRA_CD8	CD8_T-cell_naive	M
T1D_32005708	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	CD8_T-cell_naive	M
T1D_32005708	Schmiedel_2018	CD8_T-cell_naive	CD8_T-cell_naive	Y
T1D_32005708	ImmuNexUT	Naive_CD8	CD8_T-cell_naive	Y
T1D_32005708	ImmuNexUT	Mem_CD8	CD8_T-cell_naive	M
T1D_32005708	ImmuNexUT	CM_CD8	CD8_T-cell_naive	M
T1D_32005708	ImmuNexUT	EM_CD8	CD8_T-cell_naive	M
T1D_32005708	ImmuNexUT	TEMRA_CD8	CD8_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	CD8_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	CD8_T-cell_naive	CD8_T-cell_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	Naive_CD8	CD8_T-cell_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	Mem_CD8	CD8_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	CM_CD8	CD8_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	EM_CD8	CD8_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	TEMRA_CD8	CD8_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	CD8_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	CD8_T-cell_naive	CD8_T-cell_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	Naive_CD8	CD8_T-cell_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	Mem_CD8	CD8_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	CM_CD8	CD8_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	EM_CD8	CD8_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	TEMRA_CD8	CD8_T-cell_naive	M
